,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,46.17265084,44.66989178,1.00E-05,46.60379601,46.07931854,53.4695151
1,0.0001,46.17560605,44.67639897,0.0001,46.60907299,46.08241119,53.47443463
2,0.0001,46.17729952,44.67901942,0.001,46.61078304,46.08415626,53.47601175
3,0.0001,46.17882858,44.68276852,0.01,46.61342627,46.08569355,53.47888144
4,0.0001,46.17999777,44.6843346,0.1,46.61461756,46.08682544,53.4806182
5,0.0001,46.18083309,44.68479752,1,46.61496797,46.08761186,53.4809895
6,0.0001,46.18144291,44.68490955,10,46.61502442,46.08818688,53.48112841
7,0.0001,46.18191393,44.68509265,100,46.6151052,46.08862703,53.48111812
8,0.0001,46.18229067,44.68522767,1000,46.61525368,46.08897004,53.48123731
9,0.001,46.16885767,44.524701,1.00E-05,46.45958639,46.07505702,53.31877311
10,0.001,46.16319535,44.58990454,0.0001,46.53365175,46.06936852,53.40185997
11,0.001,46.16023107,44.61629866,0.001,46.55046391,46.06653085,53.41731156
12,0.001,46.15981459,44.65370117,0.01,46.57674018,46.0663676,53.44583183
13,0.001,46.16035569,44.66934622,0.1,46.58863648,46.06697209,53.4631806
14,0.001,46.16104795,44.67397244,1,46.59213882,46.06762309,53.46689239
15,0.001,46.1617112,44.67509248,10,46.59270325,46.06825085,53.46828137
16,0.001,46.16236065,44.67692297,100,46.59351181,46.06884652,53.46817952
17,0.001,46.1629899,44.67827283,1000,46.59499475,46.06937936,53.46937007
18,0.01,46.09211242,43.22132397,1.00E-05,44.98799516,46.00179817,51.66966401
19,0.01,46.05605468,43.77784365,0.0001,45.64072678,45.96789057,52.43526787
20,0.01,46.03249411,44.0143574,0.001,45.80525808,45.94629012,52.5939176
21,0.01,46.02440742,44.36523226,0.01,46.21440641,45.93840498,53.12157864
22,0.01,46.02280366,44.51999528,0.1,46.33730565,45.93671376,53.30147043
23,0.01,46.0228606,44.56570572,1,46.37238952,45.93635469,53.33832807
24,0.01,46.02335827,44.57691079,10,46.37330156,45.9364218,53.34473026
25,0.01,46.02423914,44.59536113,100,46.38368842,45.93678216,53.34744866
26,0.01,46.02540041,44.60882513,1000,46.39859783,45.93713877,53.35966344
27,0.1,45.78051937,37.92029932,1.00E-05,39.37223556,45.68791111,45.21423562
28,0.1,45.60196537,38.97639877,0.0001,40.52479528,45.5130303,46.62048667
29,0.1,45.46040071,39.78019994,0.001,41.23055278,45.37631533,47.67931135
30,0.1,45.38831516,41.73575342,0.01,42.83688338,45.30561616,49.90658636
31,0.1,45.35054452,43.0960482,0.1,43.90353159,45.26864443,51.6821615
32,0.1,45.32449266,43.5054013,1,44.28608826,45.24131719,52.14420819
33,0.1,45.30344335,43.61143303,10,44.34359772,45.21866714,52.28236196
34,0.1,45.28635201,43.79197629,100,44.46085584,45.20033392,52.35536339
35,0.1,45.2722386,43.92202969,1000,44.58020229,45.1842681,52.44131298
36,1,45.03258442,35.35494588,1.00E-05,37.42351238,44.93414204,41.86973427
37,1,44.78878368,34.25590889,0.0001,36.21412408,44.68175871,41.11792198
38,1,44.49916433,32.09228845,0.001,33.29154439,44.37830638,39.08367297
39,1,44.17414815,31.14002099,0.01,29.89333261,44.04573717,39.29294214
40,1,43.90210605,33.08739611,0.1,29.66756107,43.77096881,43.63162543
41,1,43.66026185,35.20619139,1,29.81680444,43.52747474,44.42214718
42,1,43.43742382,35.67273877,10,29.41969194,43.30671076,44.8067523
43,1,43.2349994,36.85120187,100,29.5509099,43.10762246,44.96557381
44,1,43.05460337,37.86229242,1000,30.2242546,42.92592884,45.41857619
45,10,42.89820859,34.50191842,1.00E-05,36.39437589,42.76582421,41.03085444
46,10,42.70194814,32.1806963,0.0001,33.05762819,42.57263755,37.87052827
47,10,42.44523325,34.70157759,0.001,28.6543646,42.28680292,33.99954069
48,10,42.12076544,30.22296974,0.01,22.40665464,41.93159228,36.35151746
49,10,41.71461926,32.27499317,0.1,13.56867048,41.53358121,35.80441426
50,10,41.27151672,26.29010549,1,6.722827352,41.11646203,32.70300516
51,10,40.78844106,21.13746157,10,1.982652681,40.66629474,25.67903722
52,10,40.32818871,19.32270595,100,1.054687494,40.23776876,24.58538483
53,10,39.90246971,19.44680976,1000,0.822417656,39.83973046,25.40567486
54,100,39.78624991,31.28002583,1.00E-05,33.26705519,39.72265282,38.02456591
55,100,39.63683393,32.86469608,0.0001,30.39186802,39.5826986,36.01477925
56,100,39.4423133,35.70480183,0.001,25.50759734,39.37036038,36.63068344
57,100,39.28970102,36.81820869,0.01,19.50073118,39.20931636,44.13049119
58,100,38.99411497,35.60442807,0.1,8.89257722,38.94231499,38.73999221
59,100,38.62938125,21.37109883,1,1.301139851,38.60821039,26.14270898
60,100,38.25225104,21.0300994,10,0.30387023,38.2591562,24.21495061
61,100,37.88939384,17.77514765,100,0.009947703,37.92127186,24.28189207
62,100,37.55286041,18.95353003,1000,0.009955097,37.60623479,24.67731887
63,1000,37.46682001,30.3503764,1.00E-05,31.08502531,37.53448987,37.18580912
64,1000,37.39242567,38.1716696,0.0001,27.92466062,37.43376767,35.23327615
65,1000,37.34584387,38.69573594,0.001,22.36190252,37.35176694,39.40793096
66,1000,37.42015014,85.32581409,0.01,14.92653685,37.35253132,63.81125785
67,1000,37.28971247,44.70796129,0.1,2.320627465,37.24638943,69.7122132
68,1000,37.00453176,20.83331936,1,0.37565759,36.98951773,26.16158949
69,1000,36.70028297,20.12009671,10,0.020108916,36.70973135,25.46658621
70,1000,36.40528047,17.77514765,100,0.009947703,36.43650031,24.28189207
71,1000,36.13142639,18.95353003,1000,0.009955097,36.1814647,24.67731887
72,10000,36.23053196,30.93748035,1.00E-05,28.44800786,36.28674339,36.28256113
73,10000,36.15075341,34.54185443,0.0001,24.11928969,36.19482983,38.67648017
74,10000,36.28636103,25.56105147,0.001,14.16457884,36.32328837,32.66534608
75,10000,37.04501898,112.260774,0.01,5.622234744,36.95055379,139.414799
76,10000,37.26018827,157.8636494,0.1,0.538840119,37.21180099,110.291712
77,10000,37.0097647,19.70845294,1,0.049070473,36.9880542,28.29008474
78,10000,36.74044106,20.08325728,10,0.010765963,36.74014886,28.57376222
