,C,cv_mse,ext_val_mse,gamma,train_mse,rcv_mse,test_mse
0,0.0001,306.3441753,213.8813031,1.00E-05,316.7401576,332.4304822,440.739015
1,0.0001,306.3501819,213.8906367,0.0001,316.7656583,332.4369966,440.7717771
2,0.0001,306.3551975,213.9011904,0.001,316.7789336,332.4427802,440.7940655
3,0.0001,306.3581049,213.902311,0.01,316.7798828,332.4458947,440.796229
4,0.0001,306.3598876,213.9024899,0.1,316.7800984,332.4477754,440.79635
5,0.0001,306.3610789,213.9025372,1,316.7801648,332.4490303,440.7963686
6,0.0001,306.3619317,213.9025442,10,316.7802172,332.4499286,440.7964103
7,0.0001,306.3625713,213.9025443,100,316.7802192,332.4506025,440.7964124
8,0.0001,306.3630688,213.9025443,1000,316.7802192,332.4511266,440.7964124
9,0.001,306.3364147,213.6728721,1.00E-05,316.3358874,332.422879,440.2096746
10,0.001,306.3255167,213.7661179,0.0001,316.5905091,332.4116017,440.5369333
11,0.001,306.3239646,213.8716176,0.001,316.7232164,332.4112312,440.7597562
12,0.001,306.3238805,213.8828218,0.01,316.7327046,332.4116026,440.7813876
13,0.001,306.3239451,213.8846102,0.1,316.7348603,332.4119642,440.7825975
14,0.001,306.3240123,213.8850834,1,316.735524,332.4122815,440.782783
15,0.001,306.3240792,213.8851539,10,316.7360483,332.4125683,440.7831999
16,0.001,306.3241385,213.885154,100,316.7360684,332.4128217,440.783221
17,0.001,306.3241912,213.885154,1000,316.7360684,332.4130469,440.783221
18,0.01,306.1876067,211.8283153,1.00E-05,313.3200315,332.2631752,437.0041338
19,0.01,306.1194369,212.6109438,0.0001,314.913547,332.1928311,438.3560502
20,0.01,306.1006222,213.5762304,0.001,316.1669668,332.180594,440.4173023
21,0.01,306.0907676,213.6880998,0.01,316.2614672,332.1735113,440.6332341
22,0.01,306.0826006,213.7059667,0.1,316.2829781,332.167308,440.6453014
23,0.01,306.075184,213.7106975,1,316.2896013,332.1616456,440.6471472
24,0.01,306.0684124,213.7114031,10,316.2948344,332.1564944,440.6513062
25,0.01,306.0621637,213.711405,100,316.295035,332.1517416,440.6515167
26,0.01,306.0563778,213.711405,1000,316.295035,332.147341,440.6515167
27,0.1,305.2222992,198.8455688,1.00E-05,290.5742373,331.263388,416.907214
28,0.1,304.7603344,207.3130073,0.0001,304.6020959,330.7984075,429.8776454
29,0.1,304.6191605,212.0251179,0.001,311.3677992,330.6885493,438.4537872
30,0.1,304.5218617,212.0910637,0.01,311.7617409,330.6141134,439.5062674
31,0.1,304.4357669,212.2623072,0.1,311.9673863,330.5461902,439.6142418
32,0.1,304.3553864,212.3091395,1,312.0322678,330.4825521,439.6317701
33,0.1,304.2801094,212.3160869,10,312.0834908,330.4230731,439.6721219
34,0.1,304.2091491,212.3161055,100,312.0854693,330.3670096,439.6741945
35,0.1,304.1421309,212.3161055,1000,312.0854693,330.3140607,439.6741945
36,1,301.421422,125.724276,1.00E-05,176.0199068,327.6966707,280.8175066
37,1,299.3876523,150.6854884,0.0001,197.7116726,325.5981611,313.2094151
38,1,298.4074259,194.1470215,0.001,257.785641,324.6532618,399.184314
39,1,297.6380839,198.6865965,0.01,265.3346626,323.9212515,416.4514303
40,1,296.9286695,199.3718934,0.1,266.1171378,323.2446096,416.5937813
41,1,296.2611168,199.5396479,1,266.3435613,322.6074884,416.2294674
42,1,295.6384283,199.5977161,10,266.7682697,322.0187007,416.579049
43,1,295.0445717,199.5978927,100,266.7861189,321.4574706,416.5984437
44,1,294.4771087,199.5978927,1000,266.7861189,320.9211841,416.5984437
45,10,289.6970038,59.80554416,1.00E-05,60.54573363,315.7205934,132.701847
46,10,284.9654159,54.69189504,0.0001,32.41044002,310.6214185,148.7436961
47,10,281.1398949,114.037746,0.001,36.3809227,306.611691,177.7719603
48,10,277.7300022,137.2922962,0.01,48.42238286,303.1057592,251.1558573
49,10,274.4906833,141.0135169,0.1,47.49655235,299.7658579,254.4825329
50,10,271.3882342,142.7896297,1,47.89302363,296.5627529,255.3094786
51,10,268.415797,143.1846458,10,48.30471719,293.4962026,256.7568565
52,10,265.5560954,143.1852443,100,48.34938755,290.5461056,256.8444254
53,10,262.8023087,143.1852443,1000,48.34938305,287.7052714,256.8444104
54,100,258.8991894,87.51147666,1.00E-05,31.32783367,283.40169,112.7463655
55,100,255.0818866,45.83101395,0.0001,7.62854664,279.1942559,105.5340759
56,100,251.7636869,94.02110326,0.001,1.466453317,275.692628,118.7383468
57,100,248.8237294,131.0965505,0.01,0.102317698,272.6048572,168.152775
58,100,246.0083903,135.7890204,0.1,0.009954524,269.6401843,171.5989219
59,100,243.2937249,137.45032,1,0.009998581,266.7773225,171.9686584
60,100,240.676498,137.903306,10,0.009919709,264.0186394,172.7550789
61,100,238.1441036,137.8982696,100,0.009924776,261.3494548,172.8073053
62,100,235.6921026,137.8982717,1000,0.009922301,258.7650062,172.8073019
63,1000,232.7706742,62.23642734,1.00E-05,16.13069036,255.5731167,96.16878234
64,1000,229.8677971,36.88715308,0.0001,1.623298151,252.3429426,82.55311353
65,1000,227.383816,73.24411468,0.001,0.102678154,249.7253308,147.0247008
66,1000,225.2019998,131.1024136,0.01,0.009999755,247.4394147,168.233152
67,1000,223.1066576,135.7890204,0.1,0.009954524,245.237205,171.5989219
68,1000,221.0779881,137.45032,1,0.009998581,243.1014263,171.9686584
69,1000,219.1146294,137.903306,10,0.009919709,241.0356581,172.7550789
70,1000,217.2069311,137.8982696,100,0.009924776,239.0285248,172.8073053
71,1000,215.3522243,137.8982717,1000,0.009922301,237.0771453,172.8073019
72,10000,214.0020656,84.81907297,1.00E-05,6.979046669,235.968537,86.99027968
73,10000,211.7113321,60.11187934,0.0001,1.516287853,233.3976382,80.66256922
74,10000,209.7663609,73.2494957,0.001,0.00993188,231.3454945,147.0844399
75,10000,208.0747263,131.1024136,0.01,0.009999755,229.5721189,168.233152
76,10000,206.4467263,135.7890204,0.1,0.009954524,227.8593532,171.5989219
77,10000,204.865723,137.45032,1,0.009998581,226.1928034,171.9686584
78,10000,203.3312567,137.903306,10,0.009919709,224.5764092,172.7550789
79,10000,201.8354665,137.8982696,100,0.009924776,223.000819,172.8073053
80,10000,200.3766094,137.8982717,1000,0.009922301,221.4641323,172.8073019
