,C,cv_mse,ext_val_mse,gamma,rcv_mse,test_mse,train_mse
0,0.0001,287.1524592816926,297.6830796779823,1e-05,292.7128753791323,318.37943286018003,272.6334859440009
1,0.0001,287.1607420069534,297.709210174619,0.0001,292.72245490443595,318.407570776059,272.65761835369585
2,0.0001,287.1696381904093,297.7321286212217,0.001,292.7308926470517,318.4361272083498,272.68359136328036
3,0.0001,287.1748723814152,297.7353833693208,0.01,292.73585879879386,318.4401439982342,272.6877170203452
4,0.0001,287.1780775060724,297.7357051476838,0.1,292.73888321236484,318.4405026006893,272.6882624096298
5,0.0001,287.18023612011234,297.73590544554736,1.0,292.7409123330473,318.4406447015382,272.688461852001
6,0.0001,287.18179264840626,297.7361307512904,10.0,292.7423667586941,318.4407705045805,272.68866044854246
7,0.0001,287.1829622259697,297.73615931523324,100.0,292.7434577142235,318.4408044719064,272.68868159651333
8,0.0001,287.18387189760574,297.73615931738885,1000.0,292.7443062351908,318.44080447561106,272.6886815977222
9,0.001,287.14292157635157,297.1805822906074,1e-05,292.70430933086425,317.8035484267141,272.0919099824163
10,0.001,287.124203373064,297.4413797281381,0.0001,292.68856915940347,318.084334688143,272.3326182689486
11,0.001,287.1236173182134,297.67044867381304,0.001,292.6883368230178,318.3696630834527,272.59209632751094
12,0.001,287.1255396993947,297.7029911859876,0.01,292.6904391377799,318.40982216965153,272.6333419953177
13,0.001,287.1274181689307,297.70620863585617,0.1,292.6924008159486,318.4134081409937,272.63879560957605
14,0.001,287.1291336143684,297.70821131594334,1.0,292.69415230643705,318.41482900435284,272.6407896326203
15,0.001,287.1306987586465,297.71046410262664,10.0,292.69570696337524,318.4160868611464,272.64277518374314
16,0.001,287.13209003323414,297.7107497173328,100.0,292.6970793609078,318.4164265240647,272.642986635135
17,0.001,287.1333267227458,297.71074973888886,1000.0,292.69829926982555,318.41642656111105,272.64298664722224
18,0.01,286.91833813170695,291.73456404163034,1e-05,292.4875970088568,312.2807942651674,267.9757618852832
19,0.01,286.8112354951123,294.77525047592854,0.0001,292.39207593410384,314.9941423390794,270.09005647807896
20,0.01,286.79349263384546,297.05438789781647,0.001,292.3780695114503,317.7070874897813,271.706241431274
21,0.01,286.7912745111625,297.3793161378111,0.01,292.378632995094,318.1068204274301,272.0901403897668
22,0.01,286.7906308752706,297.4114572603459,0.1,292.3800921660427,318.14267481994335,272.1446486004034
23,0.01,286.79046039600746,297.43145420636546,1.0,292.38157656872795,318.1568689405894,272.16454876774213
24,0.01,286.790804724914,297.45395499852503,10.0,292.3829016835165,318.169430145572,272.1843628498335
25,0.01,286.7911894749042,297.4568086732889,100.0,292.38412879520047,318.17282574064745,272.1864745319884
26,0.01,286.7915457314921,297.4568088888889,1000.0,292.3852650097227,318.1728261111111,272.1864746527778
27,0.1,285.53633797294793,258.6950759070647,1e-05,291.0975324013102,270.36941957063385,232.5870514512987
28,0.1,284.81433971603,272.6141909818295,0.0001,290.41572053447743,286.86574114269337,243.30987725850346
29,0.1,284.6478478872029,290.96876397262463,0.001,290.2668300553824,311.3509036290516,263.9729397999439
30,0.1,284.58683847636894,294.1672441728643,0.01,290.2165352169052,315.1160051807981,266.9662966448407
31,0.1,284.5395627553164,294.4515254436591,0.1,290.1759534695805,315.47043945759714,267.40150404168617
32,0.1,284.4991123482749,294.64851203863503,1.0,290.13866127807796,315.6200510343641,267.67527676311073
33,0.1,284.46405419894575,294.8707992197296,10.0,290.10398916345355,315.74393627844444,267.8692456814019
34,0.1,284.4314952160153,294.8990878395473,100.0,290.0713351693732,315.7778278465129,267.890157904211
35,0.1,284.4007451148011,294.89908999999994,1000.0,290.04049528607516,315.777831558883,267.89015910590274
36,1.0,280.87973184011753,142.45130030900842,1e-05,286.51469565262653,137.5524059735972,125.41280683544699
37,1.0,277.60712353384895,157.73693431863651,0.0001,283.3423184386239,158.36546791064902,125.7015724686
38,1.0,276.19989962060583,241.76650646499363,0.001,282.0841446298918,258.2534907266142,193.48391338630034
39,1.0,275.4370961178523,265.17574045154436,0.01,281.4334135014472,287.1485816822527,218.32120377406787
40,1.0,274.77834952193217,267.95932127581597,0.1,280.85974749367915,290.2678020784323,221.84050689926113
41,1.0,274.1813388345942,270.20755556697026,1.0,280.32835634401766,291.58659616835877,223.7449762222463
42,1.0,273.63549076276047,272.4116206238486,10.0,279.8274312288737,292.68906279994206,225.48082016172356
43,1.0,273.118201073356,272.6701346758555,100.0,279.34951308800714,293.01557576899995,225.65795036625238
44,1.0,272.62390242606995,272.67015642138085,1000.0,278.89283575340176,293.0156125077445,225.65796145208927
45,10.0,268.43090486670627,74.49350479731989,1e-05,274.573538734519,70.67746389061683,65.57141444075066
46,10.0,263.7779814451837,65.5994626470142,0.0001,269.83468572890075,65.55013213959778,32.296244784393764
47,10.0,259.7980761718849,94.36269557123158,0.001,265.80421653097613,111.31482055745566,27.772221044164315
48,10.0,256.47885929543924,130.1802378210416,0.01,262.508244458178,157.3557353589643,38.866093176311466
49,10.0,253.42930362251354,141.4515577891628,0.1,259.47444998152685,160.2315016787048,41.68270331726009
50,10.0,250.58210597536592,145.98497508003706,1.0,256.6348976448311,166.25225225480955,43.20010408931541
51,10.0,247.87523709171094,152.870688271398,10.0,253.91920851822255,169.99620736750268,44.36491102929388
52,10.0,245.285972050371,154.69512805395357,100.0,251.30689941298664,171.40035803579804,44.55080395846256
53,10.0,242.79260826401025,154.69535833123345,1000.0,248.79134268406597,171.40053249717337,44.55083600016457
54,100.0,239.27053308081528,52.42291240922064,1e-05,245.1854285974599,47.16931019904596,38.18898351824835
55,100.0,235.4203494290022,28.64261447412405,0.0001,241.22157089041366,30.982203457747605,9.03711009230129
56,100.0,232.1251684954589,47.24595720124557,0.001,237.83839985587693,79.12003701294132,2.396158072478971
57,100.0,229.0604982307639,89.94340088079248,0.01,234.77647650581193,118.33112228220533,0.3007201179518297
58,100.0,226.19746315714167,97.11387261432101,0.1,231.92107442603594,117.28766096701672,0.24562497980949038
59,100.0,223.49249167304342,99.67798402869282,1.0,229.2218310438921,123.28089500868371,0.23096471671238167
60,100.0,220.90402992082022,108.12287522565227,10.0,226.6245363980505,127.73415022583544,0.23098470080757272
